variant,checkpoint_timestep,policy_id,mean_validation_return,mean_normalized_validation_profit,paired_profit_difference_vs_always_zero,diagnostic_oracle_value_gap,oracle_agreement,unnecessary_markdown_rate,missed_markdown_opportunity_rate,correct_zero_rate,correct_positive_rate,wrong_positive_level_rate,zero_action_share,positive_action_share,empirical_action_entropy,state_dependence_classification,collapse_flag,mechanical_valid,action_0_share,action_1_share,action_2_share,action_3_share,action_4_share,action_5_share,acceptable_by_rule,artifact_type
BALANCED,5000,BALANCED__checkpoint_5000,0.3667537807578838,0.3667537807578838,-0.083246219242116,-0.0141111605397071,0.2727272727272727,0.4545454545454545,0.0519480519480519,0.2597402597402597,0.0129870129870129,0.2207792207792207,0.1999999999999999,0.8,0.6909930816156065,STATE_DEPENDENT_POLICY,False,True,0.1999999999999999,0.4749999999999999,0.05,0.05,0.125,0.0999999999999999,False,checkpoint
BALANCED,10000,BALANCED__checkpoint_10000,0.4269224704190381,0.4269224704190381,-0.0230775295809618,-0.0222791488584941,0.5324675324675324,0.2207792207792207,0.1168831168831168,0.4935064935064935,0.0389610389610389,0.1298701298701298,0.7416666666666666,0.2583333333333334,0.3585777444019169,STATE_DEPENDENT_POLICY,False,True,0.7416666666666666,0.1916666666666666,0.0,0.0666666666666666,0.0,0.0,False,checkpoint
BALANCED,15000,BALANCED__checkpoint_15000,0.4386335798433206,0.4386335798433207,-0.0113664201566793,-0.0174625102652185,0.6363636363636364,0.1948051948051948,0.1298701298701298,0.5194805194805194,0.1168831168831168,0.0389610389610389,0.8083333333333332,0.1916666666666667,0.3267520359871763,MOSTLY_ZERO_BUT_STATE_DEPENDENT,False,True,0.8083333333333332,0.175,0.0166666666666666,0.0,0.0,0.0,False,checkpoint
BALANCED,20000,BALANCED__checkpoint_20000,0.4357711373170063,0.4357711373170062,-0.0142288626829936,-0.0178615320864505,0.6493506493506493,0.1948051948051948,0.1428571428571428,0.5194805194805194,0.1298701298701298,0.0129870129870129,0.7416666666666666,0.2583333333333334,0.3904034528166575,STATE_DEPENDENT_POLICY,False,True,0.7416666666666666,0.225,0.0333333333333333,0.0,0.0,0.0,True,checkpoint
BALANCED,20000,BALANCED__final_model_20000,0.4492263771040209,0.4492263771040209,-0.0007736228959789,-0.0178615320864505,0.7402597402597403,0.1038961038961039,0.1428571428571428,0.6103896103896104,0.1298701298701298,0.0129870129870129,0.9666666666666666,0.0333333333333334,0.0636514168294812,MOSTLY_ZERO_BUT_STATE_DEPENDENT,False,True,0.9666666666666666,0.0166666666666666,0.0166666666666666,0.0,0.0,0.0,False,final_model
BALANCED_STABLE,5000,BALANCED_STABLE__checkpoint_5000,0.3558126904016226,0.3558126904016226,-0.0941873095983772,-0.0083768867095165,0.0259740259740259,0.7012987012987013,0.0,0.0129870129870129,0.0129870129870129,0.2727272727272727,0.0,1.0,0.4483915684196256,STATE_DEPENDENT_POLICY,False,True,0.0,0.7416666666666666,0.0,0.0,0.0916666666666666,0.1666666666666666,False,checkpoint
BALANCED_STABLE,10000,BALANCED_STABLE__checkpoint_10000,0.4119859595578249,0.4119859595578249,-0.0380140404421749,-0.0152583684057622,0.1818181818181818,0.6233766233766234,0.0,0.0909090909090909,0.0909090909090909,0.1948051948051948,0.3666666666666666,0.6333333333333334,0.4568865202593954,STATE_DEPENDENT_POLICY,False,True,0.3666666666666666,0.6333333333333332,0.0,0.0,0.0,0.0,False,checkpoint
BALANCED_STABLE,15000,BALANCED_STABLE__checkpoint_15000,0.4236915124645404,0.4236915124645404,-0.0263084875354594,-0.0122757006771345,0.2337662337662337,0.6103896103896104,0.0,0.1038961038961039,0.1298701298701298,0.1558441558441558,0.5666666666666667,0.4333333333333333,0.3819085009768876,STATE_DEPENDENT_POLICY,False,True,0.5666666666666667,0.4333333333333333,0.0,0.0,0.0,0.0,False,checkpoint
BALANCED_STABLE,20000,BALANCED_STABLE__checkpoint_20000,0.4223038949295309,0.4223038949295309,-0.0276961050704689,-0.0143248853228599,0.3116883116883117,0.5324675324675324,0.0,0.1818181818181818,0.1298701298701298,0.1558441558441558,0.5166666666666666,0.4833333333333334,0.3557460937886603,STATE_DEPENDENT_POLICY,False,True,0.5166666666666666,0.4833333333333333,0.0,0.0,0.0,0.0,False,checkpoint
BALANCED_STABLE,20000,BALANCED_STABLE__final_model_20000,0.4282524808179847,0.4282524808179847,-0.0217475191820152,-0.0152264658905374,0.3636363636363636,0.4805194805194805,0.0129870129870129,0.2337662337662337,0.1298701298701298,0.1428571428571428,0.6333333333333333,0.3666666666666667,0.2227799589031844,STATE_DEPENDENT_POLICY,False,True,0.6333333333333333,0.3666666666666666,0.0,0.0,0.0,0.0,False,final_model

